"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1634.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x543c90d0770d8dea6d2b72b903f39a08bb316b14e28c2f093ae9f0cecd32c19a","15135489","1657731700","2022-07-13 17:01:40","0x017347cb75ac8725608e593ea35d83f9b2b3cfb8","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.168849204","275.99584338228","1114.57","","","Purchase",""
"0x509db08ccac51d7a21bb9dd664757852ce9a6b693ec53f7688ef0a9b819aab4a","15135489","1657731700","2022-07-13 17:01:40","0x23de05d1ba1021f71972d473bdaaa573c4b49127","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.154522471531142011","252.577796290659","1114.57","","","Purchase",""
"0x465b644525b934f322dfa2626f45265bee8d15b36d171f14f8b5200f19d689d3","15135489","1657731700","2022-07-13 17:01:40","0x007cbe0ae55957304d39b1599d94adb841302660","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.149935944035225439","245.080796041658","1114.57","","","Purchase",""
"0x93d2198db2553054c1c2275a602387972a655a5d11e13219d144a57d3dd3e648","15135489","1657731700","2022-07-13 17:01:40","0x59a3da7b35115770216b183e35ece6dee85459dc","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.141715684124912583","231.644205800058","1114.57","","","Purchase",""
"0xa26a355ca071fd0bf2e6e85a9f6f952d3a101864d6d63eec9f9463fece741058","15135489","1657731700","2022-07-13 17:01:40","0xb70a862ec2fa86ef3f7e6301ad72a2a97b106834","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.135797634","221.97073860738","1114.57","","","Purchase",""
"0xe598fd158215fda3ce4442fa1b6ad7d36da0c5fdba7e647482732078d178777d","15135489","1657731700","2022-07-13 17:01:40","0x2afe43ea31aa0a3e460f2d9e3ca1969e36b1aad1","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.13276305","217.0104986385","1114.57","","","Purchase",""
"0xd0952469a026d6c8efca3482b6e1b6f6b830909cc0e298ac5f5625f07cc9d206","15135489","1657731700","2022-07-13 17:01:40","0x6ef4873afc5f040ad886c23fe1cb81aea513963c","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.134398330531142011","219.683479136289","1114.57","","","Purchase",""
"0xdfd0799eba3872965fb040694539bbcd9e57d6c10429115300130e7c5d266eca","15135489","1657731700","2022-07-13 17:01:40","0x47024c554fac0863391dfa6fc36deda9e31c70cf","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.127825047","208.93898707479","1114.57","","","Purchase",""
"0x9a9e73e6114237893132251ae87d3190a41f004dd19c3023f907a0abdc5a8980","15135489","1657731700","2022-07-13 17:01:40","0xde18fab0baab095bc41ca5fb2b9421e4f4fca78a","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.114668780531142011","187.434148592789","1114.57","","","Purchase",""
"0xb2b70c15042acc38e01962a23b02ba63a10a530d9c49ac8e730ffaaf599ecde9","15135489","1657731700","2022-07-13 17:01:40","0x9a876cbbfd6040611d0a2834f83e0d8d974a8c8c","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.114668780531142011","187.434148592789","1114.57","","","Purchase",""
"0xab339b244166be61530070bde451a781799e67bcfefc2fddd4b6d3d43c3bbef6","15135489","1657731700","2022-07-13 17:01:40","0x730aba725664974efb753ee72ca789541c733db4","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.107394440989045139","175.543731407464","1114.57","","","Purchase",""
"0xaebd2d3b384c336f0896bc420a04bf73bb0976e3ac506de73f7dd7c53c78d0d7","15135489","1657731700","2022-07-13 17:01:40","0x25cab69f98105d5bfacebd4ab306fe6828407c1c","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.099865029484961711","163.236381245234","1114.57","","","Purchase",""
"0x02fd941696ea3d3638a878ad151c55526c231a8dfe33a5a9b16b9e31c4cd7e21","15135489","1657731700","2022-07-13 17:01:40","0x79008c1c0766399ca0b956d8844ee2d50cf11c45","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.09483075","155.0074990275","1114.57","","","Purchase",""
"0xcfc7e4defe24132418377f6be47c73d642ffa0cdcde4a4d11edcf32aabf7b666","15135489","1657731700","2022-07-13 17:01:40","0x628e883c845e6fe1d57cee9f614583b2aff9df6c","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.092001611744912583","150.383074509882","1114.57","","","Purchase",""
"0x6c849e1ae883b7254f8b1a3ecb970c7b91bba673047276ce2fd3dfefaf871a1b","15135489","1657731700","2022-07-13 17:01:40","0x7d81a77cff9862ab62009748c24e903bc1317f72","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.087825122078732283","143.556309796233","1114.57","","","Purchase",""
"0xc32e291337ab85de82db1ace0fb7d3d132ad1e9b17ced5982e1e38e99a08a8a2","15135489","1657731700","2022-07-13 17:01:40","0x8b501a6090fd3c6b905b1a0099e2e216a5a2d40d","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.858306188925081434","0","4672.10154723127","0.084424602","137.99792169114","1114.57","","","Purchase",""
"0xcab6a59c98f4c08d8dc7b18de7bc34a28589ec432b1ba6e2dee59c04884e8bbc","15135489","1657731700","2022-07-13 17:01:40","0x8d6dc3713c4cb90f442ccd6450e8b3c36d0ea342","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.858306188925081434","0","4672.10154723127","0.082042098","134.10355212786","1114.57","","","Purchase",""
"0xb4da8f7fcafa0f3ee368b4bdfa655f7d057254c180d6bf3f202002b9fffbb32e","15135489","1657731700","2022-07-13 17:01:40","0x8f09cab21e32219618ce302fc60abb9f4dfbb86d","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.0730046","119.331129022","1114.57","","","Purchase",""
"0xfb74c3ee85ac6b73c1412d013e4af96c3a27d4945d8bc43800d3cb81f54f455d","15135489","1657731700","2022-07-13 17:01:40","0xfaf9f55e72d088f68cc01b2ff505abc11f6597b9","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.0760582","124.322451974","1114.57","","","Purchase",""
"0x87e3bedd2ee164d0f66da620c610cd7d7470bafbe199c3149aa2925a337c925b","15135489","1657731700","2022-07-13 17:01:40","0x29b9d8b112f97b637c134579b9d10a4f4fcac7ec","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.0789182","128.997322174","1114.57","","","Purchase",""
"0xcae0664181062320bb02d824836996a27a19f9896fa28364e14ba28fdeb238b6","15135489","1657731700","2022-07-13 17:01:40","0xcbf3c9b38003fa550a7bff5206366c1f62480ba7","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.868078175895765473","0","4688.07454397394","0.072859179078732283","119.093428346723","1114.57","","","Purchase",""
"0x679ee1a237d5b5a046ab693cd470ea041279b1490cd2d7a633691697d44ca883","15135489","1657731700","2022-07-13 17:01:40","0x6f24b0abcce33e3d8fb15ef00bf8bc331ec99af4","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.073164144035225439","119.591914915658","1114.57","","","Purchase",""
"0x7fb0c9156afca72acc6a9da27e6140e0dfc041a2452a4c9f6449c1e758e1334b","15135489","1657731700","2022-07-13 17:01:40","0x367c61ced4dc1939d4807ea3bcc21f0f680b9402","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.912052117263843649","0","4759.95302931596","0.072484077484961711","118.480298534594","1114.57","","","Purchase",""
"0xb98947a86f7934a8845af4eb18a27646d4e1bec0ce54a1033fa0ae6dd8634a76","15135489","1657731700","2022-07-13 17:01:40","0x2e631485c162366191cbef4baf56656b11d10faa","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.070933401","115.94560927257","1114.57","","","Purchase",""
"0x95df2f39c959c6bc70640cb314f3d9c92ebad25604c899a1e60fbe22b7b4f1e1","15135489","1657731700","2022-07-13 17:01:40","0xf8c8485033f82e721d8dcde1ba0a59e70bdad7e2","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.070933401","115.94560927257","1114.57","","","Purchase",""
"0x9114323d7c25a70f58e5fac9d585e865c3b77f6377a00fbbe61649805450de95","15135489","1657731700","2022-07-13 17:01:40","0x0cd6af0fbd0e57e3a97d87fc0d706102ddffa3ba","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.073788517","120.61249623269","1114.57","","","Purchase",""
"0x8959fe2cee376107f053f379ba59481c3fc27f9c8341caaa2af3e387e7270496","15135489","1657731700","2022-07-13 17:01:40","0x7cabb73f5b840b245ec2528751445da1f6dd7eee","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.918566775244299675","0","4770.60169381107","0.069053425","112.87265690225","1114.57","","","Purchase",""
"0x9328ac51953d7cf1ed2da020e312216e3201b2290b19110db4b488104de8772a","15135489","1657731700","2022-07-13 17:01:40","0x6beef2b2fe00fddca12a8cda2d4b00435b0ba3b6","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.858306188925081434","0","4672.10154723127","0.058945105","96.34990027985","1114.57","","","Purchase",""
