"ID","Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1634.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
12,"0x8e0077fb59af233541dba011c1ce92d1e56d085431bf223bdd0b29941d27eb90","15135484","1657731635","2022-07-13 17:00:35","0x87287c6061f898161b1d5ab2c59374deea07b036","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.944625407166123779","0","4813.19635179153","1.108098377454820813","1811.26436483633","1114.57","","","Purchase"
13,"0x4f12ba5c1da4b8a3c0b1a153816897a741731e3e91677f46a56ece46e9e55e42","15135484","1657731635","2022-07-13 17:00:35","0xf0753b791d9afa14e4f0963c2f9b603282d593fd","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.92334294","1509.2686694358","1114.57","","","Purchase"
14,"0x0c276a501a085c9cde9048fde3921a3c0dd9cacd5765c5dd0275cd2afe4115c0","15135484","1657731635","2022-07-13 17:00:35","0x53dda0a69992b87e51f0f14b1337281f09a2c8da","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.944625407166123779","0","4813.19635179153","0.767046947","1253.79192815779","1114.57","","","Purchase"
15,"0x5a20017ddc76ef8dd84f80658b647e65f9e52f96e95a1b71d0b3cbf05e8028aa","15135484","1657731635","2022-07-13 17:00:35","0x42ad947c3afe0887dcaaeaf54c715e215b4e3426","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.374771124","612.58963615668","1114.57","","","Purchase"
16,"0xec2b4317d851b57c4ff380fd619bf2b28487a1e9137707f46263586dc6d1d5f0","15135484","1657731635","2022-07-13 17:00:35","0x9c758e7b2bceab3805ac81aade95eb3dddd9231c","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.944625407166123779","0","4813.19635179153","0.337698408","551.99168676456","1114.57","","","Purchase"
17,"0x9fd79621bc860056ce447bd733dc7d76cbcb0882e8baab2ffdb96b0773c6d039","15135484","1657731635","2022-07-13 17:00:35","0x09f7a4becc5590cbb39b5c1b4803fb2d8c702937","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.325859952431025713","532.640902445182","1114.57","","","Purchase"
18,"0xe6d38a869ee4a02c5f76601a4e31fd5b1c10cb74e9850bdf280281c20cf138b6","15135484","1657731635","2022-07-13 17:00:35","0x2829d75963e0f9475c31e8dd014152b3ad2efc6b","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.306597207","501.15459664599","1114.57","","","Purchase"
19,"0x4a4ffd729ecb4406cfe2e4d7b9eddf7ea082af047ed950fafe19cafd74764409","15135484","1657731635","2022-07-13 17:00:35","0x30adb85cbe2e17662f6d0dc64c4fa2e7b0969537","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.2367546","386.991966522","1114.57","","","Purchase"
20,"0xb790ea3bf42a908d9d20cde6c04b6ca656f676ba21a0ae2374bc9badf6dc0fc3","15135484","1657731635","2022-07-13 17:00:35","0x272da454d6c3a7b1534f4ee68df36f5692e844c3","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.1972955","322.493305435","1114.57","","","Purchase"
21,"0xb3e1f4f71b5ad7c8d9d711963b8862c789dab7bc970b5605632806be0bfede13","15135484","1657731635","2022-07-13 17:00:35","0x66cb394820c191393aeae80d03adaca44972d034","0xd94c7060808f3c876824e57e685702f3834d2e13","","2.97231270358306189","0","4858.45317589577","0.161522178607200789","264.019307485972","1114.57","","","Purchase"
22,"0x60de46cd0101aefd2ac2f9d0ad7b053db6173ff11d2a7001cdaff4919c682579","15135484","1657731635","2022-07-13 17:00:35","0x055fb5c24f25fddae108555da2a296d59e920db2","0xd94c7060808f3c876824e57e685702f3834d2e13","","3","0","4903.71","0.082428395630995889","134.734982646557","1114.57","","","Purchase"
