block_time,project_addresss,eth_price,usd_price,link,platform,seller,buyer
"2022-07-13 17:48:52",ArtBlocks,4.88,5340.672,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000190/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xde1a1,\xf86a5
"2022-07-13 17:48:25",ArtBlocks,4.50,4924.8,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000041/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xfa5c5,\xb74e5
"2022-07-13 17:48:11",ArtBlocks,4.88,5340.672,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000241/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x6ef48,\x4664f
"2022-07-13 17:48:00",ArtBlocks,4.40,4815.36,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000238/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x59a3d,\x8f1c4
"2022-07-13 17:48:00",ArtBlocks,4.50,4924.8,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000260/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x0cd6a,\xac3aa
"2022-07-13 17:47:23",ArtBlocks,4.20,4596.48,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000273/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xa68fd,\xb0096
"2022-07-13 17:47:12",ArtBlocks,4.44,4859.136,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000378/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x7cacf,\x13ec5
"2022-07-13 17:47:12",ArtBlocks,4.99,5461.056,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000288/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x4a005,\x00d29
"2022-07-13 17:47:01",ArtBlocks,4.30,4705.92,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000453/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\xbb42f,\x40089
"2022-07-13 17:46:36",ArtBlocks,4.64,5078.016,"<a href=""https://opensea.io/assets/0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270/334000080/?ref=0x8F903cFC0Af3C2EC0d872c57538AF5e071544a57"" target=""_blank"" >View on OS</a>",OpenSea,\x3fce8,\xd2dea
